TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
36608LLPLS8201Z,ALL PLASTICS & FIBERGLASS INC,8201 ZEIGLER BLVD,MOBILE,MOBILE,AL,36608,30.70494,-88.23505,STYRENE
36867WTCCRSTATE,CONTINENTAL CARBON CO PHENIX CITY,1500 E STATE DOCKS RD,PHENIX CITY,RUSSELL,AL,36869,32.43372,-84.97257,POLYCYCLIC AROMATIC COMPOUNDS
36867WTCCRSTATE,CONTINENTAL CARBON CO PHENIX CITY,1500 E STATE DOCKS RD,PHENIX CITY,RUSSELL,AL,36869,32.43372,-84.97257,HYDROGEN CYANIDE
36867WTCCRSTATE,CONTINENTAL CARBON CO PHENIX CITY,1500 E STATE DOCKS RD,PHENIX CITY,RUSSELL,AL,36869,32.43372,-84.97257,CARBONYL SULFIDE
36505MSDVT124HW,IMS DIV TUBE CITY IMS,12400 HWY 43 N,AXIS,MOBILE,AL,36505,30.947479,-88.024888,LEAD COMPOUNDS
35404MRCHMONEWA,MERICHEM CO,2701 WARRIOR RD,TUSCALOOSA,TUSCALOOSA,AL,35404,33.24565,-87.47948,"2,4-DIMETHYLPHENOL"
35502MRSHLPARRI,MARSHALL DURBIN PROCESSING PLA NT JASPER AL,3301 3RD AVE,JASPER,WALKER,AL,35501,33.818056,-87.276111,AMMONIA
36102SHRMN1616P,HANSON PIPE & PRECAST LLC -  MONTGOMERY,1616 PARALLEL ST,MONTGOMERY,MONTGOMERY,AL,36104,32.40633,-86.32153,LEAD COMPOUNDS
36330CNGRF208MI,PILGRIM'S PRIDE FEED MILL,208 MIDDLE BROOK ST,ENTERPRISE,COFFEE,AL,36330,31.308865,-85.84582,MANGANESE COMPOUNDS
36701HMMRMRIVER,INTERNATIONAL PAPER - RIVERDALE MILL,601 COUNTY RD 78,SELMA,DALLAS,AL,36703,32.42522,-86.871582,NITRATE COMPOUNDS
36701HMMRMRIVER,INTERNATIONAL PAPER - RIVERDALE MILL,601 COUNTY RD 78,SELMA,DALLAS,AL,36703,32.42522,-86.871582,AMMONIA
36701HMMRMRIVER,INTERNATIONAL PAPER - RIVERDALE MILL,601 COUNTY RD 78,SELMA,DALLAS,AL,36703,32.42522,-86.871582,ZINC COMPOUNDS
36701HMMRMRIVER,INTERNATIONAL PAPER - RIVERDALE MILL,601 COUNTY RD 78,SELMA,DALLAS,AL,36703,32.42522,-86.871582,MERCURY COMPOUNDS
36701HMMRMRIVER,INTERNATIONAL PAPER - RIVERDALE MILL,601 COUNTY RD 78,SELMA,DALLAS,AL,36703,32.42522,-86.871582,MANGANESE COMPOUNDS
36701HMMRMRIVER,INTERNATIONAL PAPER - RIVERDALE MILL,601 COUNTY RD 78,SELMA,DALLAS,AL,36703,32.42522,-86.871582,BARIUM COMPOUNDS
35555XBDSN719CL,OX BODIES INC,719 COLUMBUS ST E,FAYETTE,FAYETTE,AL,35555,33.684101,-87.820866,NICKEL
3590WSHRMN246ST,SHERMAN INDUSTRIES - RAINBOW CITY PLANT,246 STEEL STATION RD,RAINBOW CITY,ETOWAH,AL,35906,33.98214,-86.046517,LEAD COMPOUNDS
36868MDCTDALABA,MEADWESTVACO COATED BOARD LLC,ALABAMA HWY 165,COTTONTON,RUSSELL,AL,36851,32.177396,-85.025501,MERCURY COMPOUNDS
36868MDCTDALABA,MEADWESTVACO COATED BOARD LLC,ALABAMA HWY 165,COTTONTON,RUSSELL,AL,36851,32.177396,-85.025501,DIOXIN AND DIOXIN-LIKE COMPOUNDS
35601MNSNTCOURT,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC - DECATUR PLANT,1050 CHEMSTRAND AVE,DECATUR,MORGAN,AL,35601,34.633889,-87.024444,ETHYLENE GLYCOL
35601MNSNTCOURT,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC - DECATUR PLANT,1050 CHEMSTRAND AVE,DECATUR,MORGAN,AL,35601,34.633889,-87.024444,ACRYLONITRILE
35740NTDST1DJNT,US GYPSUM BRIDGEPORT,100 DJ NOOTENS DR,BRIDGEPORT,JACKSON,AL,35740,34.9627,-85.72787,MERCURY COMPOUNDS
35740NTDST1DJNT,US GYPSUM BRIDGEPORT,100 DJ NOOTENS DR,BRIDGEPORT,JACKSON,AL,35740,34.9627,-85.72787,LEAD COMPOUNDS
36611NNCRBLINDE,HONEYWELL - UOP LLC,1 LINDE DR,CHICKASAW,MOBILE,AL,36611,30.758799,-88.059444,BARIUM COMPOUNDS
36611NNCRBLINDE,HONEYWELL - UOP LLC,1 LINDE DR,CHICKASAW,MOBILE,AL,36611,30.758799,-88.059444,AMMONIA
35208LBMMT3245F,ALABAMA METAL INDUSTRIES CORP,3245 FAYETTE AVE,BIRMINGHAM,JEFFERSON,AL,35208,33.497069,-86.866813,LEAD
35208LBMMT3245F,ALABAMA METAL INDUSTRIES CORP,3245 FAYETTE AVE,BIRMINGHAM,JEFFERSON,AL,35208,33.497069,-86.866813,CHROMIUM
36470LBMRVOFFHI,ALABAMA RIVER CELLULOSE LLC,2373 LENA LANDEGGER HWY,PERDUE HILL,MONROE,AL,36470,31.580112,-87.490073,MERCURY COMPOUNDS
36470LBMRVOFFHI,ALABAMA RIVER CELLULOSE LLC,2373 LENA LANDEGGER HWY,PERDUE HILL,MONROE,AL,36470,31.580112,-87.490073,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)"""
36470LBMRVOFFHI,ALABAMA RIVER CELLULOSE LLC,2373 LENA LANDEGGER HWY,PERDUE HILL,MONROE,AL,36470,31.580112,-87.490073,CHLORINE
36470LBMRVOFFHI,ALABAMA RIVER CELLULOSE LLC,2373 LENA LANDEGGER HWY,PERDUE HILL,MONROE,AL,36470,31.580112,-87.490073,METHANOL
36470LBMRVOFFHI,ALABAMA RIVER CELLULOSE LLC,2373 LENA LANDEGGER HWY,PERDUE HILL,MONROE,AL,36470,31.580112,-87.490073,LEAD COMPOUNDS
36470LBMRVOFFHI,ALABAMA RIVER CELLULOSE LLC,2373 LENA LANDEGGER HWY,PERDUE HILL,MONROE,AL,36470,31.580112,-87.490073,DIOXIN AND DIOXIN-LIKE COMPOUNDS
36108MRTHN32HUN,MARATHON PETROLEUM CO MONTGOMERY AL TERMINAL,320 HUNTER LOOP RD,MONTGOMERY,MONTGOMERY,AL,36108,32.351526,-86.385079,POLYCYCLIC AROMATIC COMPOUNDS
36108MRTHN32HUN,MARATHON PETROLEUM CO MONTGOMERY AL TERMINAL,320 HUNTER LOOP RD,MONTGOMERY,MONTGOMERY,AL,36108,32.351526,-86.385079,TOLUENE
36203FBRCS111ME,FABARC STEEL SUPPLY INC,111 MEADOW LN,OXFORD,CALHOUN,AL,36203,33.59346,-85.862909,MANGANESE COMPOUNDS
36612SFTYK3023D,SAFETY-KLEEN SYSTEMS (613301),3023 DIAL ST,WHISTLER,MOBILE,AL,36612,30.74321,-88.1173,ETHYLENE GLYCOL
36612SFTYK3023D,SAFETY-KLEEN SYSTEMS (613301),3023 DIAL ST,WHISTLER,MOBILE,AL,36612,30.74321,-88.1173,"BENZO(G,H,I)PERYLENE"
36105HYNDM7HYUN,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC,700 HYUNDAI BLVD,MONTGOMERY,MONTGOMERY,AL,36105,32.277784,-86.320487,CYCLOHEXANE
36105HYNDM7HYUN,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC,700 HYUNDAI BLVD,MONTGOMERY,MONTGOMERY,AL,36105,32.277784,-86.320487,XYLENE (MIXED ISOMERS)
36105HYNDM7HYUN,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC,700 HYUNDAI BLVD,MONTGOMERY,MONTGOMERY,AL,36105,32.277784,-86.320487,SODIUM NITRITE
36105HYNDM7HYUN,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC,700 HYUNDAI BLVD,MONTGOMERY,MONTGOMERY,AL,36105,32.277784,-86.320487,CERTAIN GLYCOL ETHERS
35077LSNPC902MA,LOUISIANA-PACIFIC CORP,902 MAIN ST SE,HANCEVILLE,CULLMAN,AL,35077,34.053701,-86.762705,LEAD
36614MRCNCCYANA,KEMIRA WATER SOLUTIONS INC,1 CYANAMID RD,MOBILE,MOBILE,AL,36610,30.748056,-88.064167,ACRYLIC ACID
35222BRMCL616NO,BERMCO ALUMINUM,616 N 33RD PL,BIRMINGHAM,JEFFERSON,AL,35222,33.52871,-86.78988,NICKEL
36015NNCMPUSHIG,COASTAL FOREST PRODUCTS LLC,102 MAIN ST,CHAPMAN,BUTLER,AL,36015,31.673828,-86.713053,LEAD COMPOUNDS
36015NNCMPUSHIG,COASTAL FOREST PRODUCTS LLC,102 MAIN ST,CHAPMAN,BUTLER,AL,36015,31.673828,-86.713053,DIOXIN AND DIOXIN-LIKE COMPOUNDS
3590WKYSTN2281S,KEYSTONE FOODS LLC - ALABAMA DIV,2281 STEELE STATION RD,GADSDEN,ETOWAH,AL,35906,33.961667,-86.078337,AMMONIA
3502WCNSLD81LAB,CONSOLIDATED PIPE & SUPPLY CO INC,801 LABARGE DR,BESSEMER,JEFFERSON,AL,35022,33.35261,-86.9843,NICKEL
3502WCNSLD81LAB,CONSOLIDATED PIPE & SUPPLY CO INC,801 LABARGE DR,BESSEMER,JEFFERSON,AL,35022,33.35261,-86.9843,COPPER
35150TKSDL2100S,NEMAK USA INC,2100 OLD SYLACAUGA HWY,SYLACAUGA,TALLADEGA,AL,35150,33.20627,-86.2818,LEAD
35490MRCDS1MERC,MERCEDES-BENZ US INTERNATIONAL INC,1 MERCEDES DR,VANCE,TUSCALOOSA,AL,354909310,33.18936,-87.26062,N-HEXANE
35490MRCDS1MERC,MERCEDES-BENZ US INTERNATIONAL INC,1 MERCEDES DR,VANCE,TUSCALOOSA,AL,354909310,33.18936,-87.26062,ETHYLBENZENE
36027CHRNP57MEL,EQUITY GROUP EUFAULA DIV LLC,57 MELVIN CLARK RD,BAKER HILL,BARBOUR,AL,360274938,31.79166,-85.34166,NITRATE COMPOUNDS
35772STVWDCOUNT,US TVA WIDOWS CREEK FOSSIL PLANT,2800 STEAM PLANT RD,STEVENSON,JACKSON,AL,35772,34.883314,-85.755278,NICKEL COMPOUNDS
35772STVWDCOUNT,US TVA WIDOWS CREEK FOSSIL PLANT,2800 STEAM PLANT RD,STEVENSON,JACKSON,AL,35772,34.883314,-85.755278,ARSENIC COMPOUNDS
36201MNSNT300BI,SOLUTIA INC ANNISTON PLANT,702 CLYDESDALE AVE,ANNISTON,CALHOUN,AL,36201,33.650208,-85.851562,BIPHENYL
35016THHLLHIGHW,UMICORE SPECIALTY CHEMICALS - ARAB,1951 GUNTERSVILLE RD,ARAB,MARSHALL,AL,35016,34.343465,-86.455824,COBALT COMPOUNDS
35016THHLLHIGHW,UMICORE SPECIALTY CHEMICALS - ARAB,1951 GUNTERSVILLE RD,ARAB,MARSHALL,AL,35016,34.343465,-86.455824,NICKEL COMPOUNDS
35580NLSNBOLDBA,NELSON BROTHERS LLC PARRISH,500 OLD BALTIMORE RD,PARRISH,WALKER,AL,35580,33.733191,-87.26745,MALEIC ANHYDRIDE
35580NLSNBOLDBA,NELSON BROTHERS LLC PARRISH,500 OLD BALTIMORE RD,PARRISH,WALKER,AL,35580,33.733191,-87.26745,DIETHANOLAMINE
35616SCTSS1834H,SCA TISSUE NA BARTON OPERATIONS,1834 HALEY DR,CHEROKEE,COLBERT,AL,35616,34.7663,-87.890501,LEAD
35580LBMPW460GO,GORGAS STEAM PLANT,460 GORGAS RD,PARRISH,WALKER,AL,35580,33.658202,-87.20553,MANGANESE COMPOUNDS
35950MLLRCWEAVE,MUELLER CO,956 INDUSTRIAL BLVD,ALBERTVILLE,MARSHALL,AL,35950,34.2297,-86.1857,METHYL ISOBUTYL KETONE
35950MLLRCWEAVE,MUELLER CO,956 INDUSTRIAL BLVD,ALBERTVILLE,MARSHALL,AL,35950,34.2297,-86.1857,LEAD COMPOUNDS
35950MLLRCWEAVE,MUELLER CO,956 INDUSTRIAL BLVD,ALBERTVILLE,MARSHALL,AL,35950,34.2297,-86.1857,MANGANESE COMPOUNDS
3509WJNKNS411US,JENKINS BRICK - JORDAN PLANT,4110 US HWY 78 E,LEEDS,ST CLAIR,AL,35094,33.57833,-86.46243,MANGANESE COMPOUNDS
3610WJNKNS1228N,JENKINS BRICK -MONTGOMERY BRICK PLANT,1228 N MCDONOUGH ST,MONTGOMERY,MONTGOMERY,AL,36104,32.39451,-86.30565,HYDROGEN FLUORIDE
3651WTHYSS1THYS,OUTOKUMPU STAINLESS USA LLC,1 THYSSENKRUPP DR,CALVERT,MOBILE,AL,36513,31.160065,-87.985473,HYDROGEN FLUORIDE
3651WTHYSS1THYS,OUTOKUMPU STAINLESS USA LLC,1 THYSSENKRUPP DR,CALVERT,MOBILE,AL,36513,31.160065,-87.985473,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
35772STVWDCOUNT,US TVA WIDOWS CREEK FOSSIL PLANT,2800 STEAM PLANT RD,STEVENSON,JACKSON,AL,35772,34.883314,-85.755278,VANADIUM COMPOUNDS
35772STVWDCOUNT,US TVA WIDOWS CREEK FOSSIL PLANT,2800 STEAM PLANT RD,STEVENSON,JACKSON,AL,35772,34.883314,-85.755278,HYDROGEN FLUORIDE
35035CHBPRRT1BO,CAHABA PRESSURE TREATED FOREST PRODUCTS INC,12755 MONTEVALLO RD,BRIERFIELD,BIBB,AL,35035,33.035995,-86.973577,PENTACHLOROPHENOL
36260LGCYC100LE,LEGACY CABINETS INC,285 LEGACY BLVD,EASTABOGA,TALLADEGA,AL,36260,33.583075,-86.039635,TOLUENE
35631MCFRTCORNE,AGRIUM US INC,1 COMMERCE ST,FLORENCE,LAUDERDALE,AL,35630,34.805748,-87.656305,ZINC COMPOUNDS
35125DGLSM300IN,DOUGLAS MANUFACTURING,300 INDUSTRIAL PARK DR,PELL CITY,ST CLAIR,AL,35125,33.602032,-86.267519,COPPER
35125DGLSM300IN,DOUGLAS MANUFACTURING,300 INDUSTRIAL PARK DR,PELL CITY,ST CLAIR,AL,35125,33.602032,-86.267519,MANGANESE
35096HNDMF1800H,HONDA MANUFACTURING OF ALABAMA LLC,1800 HONDA DR,LINCOLN,TALLADEGA,AL,35096,33.616091,-86.156139,TOLUENE
35616SCTSS1834H,SCA TISSUE NA BARTON OPERATIONS,1834 HALEY DR,CHEROKEE,COLBERT,AL,35616,34.7663,-87.890501,NITRATE COMPOUNDS
35160PPGND69HWY,PITTSBURGH GLASS WORKS LLC,69000 HWY 77,TALLADEGA,TALLADEGA,AL,35160,33.499132,-86.121837,LEAD
35660RYNLDEAST2,WISE ALLOYS LLC - ALLOYS PLANT,4805 SECOND ST,MUSCLE SHOALS,COLBERT,AL,35661,34.758144,-87.586971,FLUORINE
35660RYNLDEAST2,WISE ALLOYS LLC - ALLOYS PLANT,4805 SECOND ST,MUSCLE SHOALS,COLBERT,AL,35661,34.758144,-87.586971,METHYL ISOBUTYL KETONE
35987NDSTR475DI,VALMONT - BIRMINGHAM GALVANIZING INC,475 DIETRICH RD,STEELE,ST CLAIR,AL,35987,33.8759,-86.28573,ZINC COMPOUNDS
35660RYNLDEAST2,WISE ALLOYS LLC - ALLOYS PLANT,4805 SECOND ST,MUSCLE SHOALS,COLBERT,AL,35661,34.758144,-87.586971,XYLENE (MIXED ISOMERS)
35660RYNLDEAST2,WISE ALLOYS LLC - ALLOYS PLANT,4805 SECOND ST,MUSCLE SHOALS,COLBERT,AL,35661,34.758144,-87.586971,FORMALDEHYDE
35660RYNLDEAST2,WISE ALLOYS LLC - ALLOYS PLANT,4805 SECOND ST,MUSCLE SHOALS,COLBERT,AL,35661,34.758144,-87.586971,N-BUTYL ALCOHOL
36615TLDYN2000N,CONTINENTAL MOTORS INC,2039 S BROAD ST,MOBILE,MOBILE,AL,366151286,30.645172,-88.06958,AMMONIA
35903CLPLM205SP,TENNESSEE ALUMINUM PROCESSORS INC,205 SPURLINE DR,GADSDEN,ETOWAH,AL,35903,33.988329,-85.964522,DIOXIN AND DIOXIN-LIKE COMPOUNDS
35999GDYRT922EA,THE GOODYEAR TIRE & RUBBER CO,922 E MEIGHAN BLVD,GADSDEN,ETOWAH,AL,359031922,34.00659,-85.97247,THIRAM
35999GDYRT922EA,THE GOODYEAR TIRE & RUBBER CO,922 E MEIGHAN BLVD,GADSDEN,ETOWAH,AL,359031922,34.00659,-85.97247,"BENZO(G,H,I)PERYLENE"
36862LBMGRHGHY4,ALA-GA WOOD PRESERVING CO,15206 US HWY 431,LAFAYETTE,CHAMBERS,AL,36862,32.824502,-85.444366,COPPER COMPOUNDS
35563M    HIGHW,3M CO - GUIN,6675 US HWY 43,GUIN,MARION,AL,35563,33.96672,-87.899855,XYLENE (MIXED ISOMERS)
35563M    HIGHW,3M CO - GUIN,6675 US HWY 43,GUIN,MARION,AL,35563,33.96672,-87.899855,CERTAIN GLYCOL ETHERS
35999GDYRT922EA,THE GOODYEAR TIRE & RUBBER CO,922 E MEIGHAN BLVD,GADSDEN,ETOWAH,AL,359031922,34.00659,-85.97247,ZINC COMPOUNDS
35611JPTRN1500F,FEDERAL-MOGUL SEALING SYSTEMS,1500 FREEMAN AVE,ATHENS,LIMESTONE,AL,35613,34.790299,-86.952989,NICKEL
35061SFTYK1002H,SAFETY-KLEEN SYSTEMS (301901),1002 HOKE AVE,DOLOMITE,JEFFERSON,AL,35061,33.459812,-86.958825,POLYCYCLIC AROMATIC COMPOUNDS
35061SFTYK1002H,SAFETY-KLEEN SYSTEMS (301901),1002 HOKE AVE,DOLOMITE,JEFFERSON,AL,35061,33.459812,-86.958825,LEAD
35061SFTYK1002H,SAFETY-KLEEN SYSTEMS (301901),1002 HOKE AVE,DOLOMITE,JEFFERSON,AL,35061,33.459812,-86.958825,ETHYLENE GLYCOL
35207SLSSN35003,WALTER COKE INC,3500 35TH AVE N,BIRMINGHAM,JEFFERSON,AL,35207,33.562745,-86.798906,PHENANTHRENE
35207SLSSN35003,WALTER COKE INC,3500 35TH AVE N,BIRMINGHAM,JEFFERSON,AL,35207,33.562745,-86.798906,XYLENE (MIXED ISOMERS)
35207SLSSN35003,WALTER COKE INC,3500 35TH AVE N,BIRMINGHAM,JEFFERSON,AL,35207,33.562745,-86.798906,PROPYLENE
35207SLSSN35003,WALTER COKE INC,3500 35TH AVE N,BIRMINGHAM,JEFFERSON,AL,35207,33.562745,-86.798906,BENZENE
35207SLSSN35003,WALTER COKE INC,3500 35TH AVE N,BIRMINGHAM,JEFFERSON,AL,35207,33.562745,-86.798906,ANTHRACENE
36193RHMMN2600E,RHEEM MANUFACTURING WATER HEATER DIV,2600 GUNTER PARK DR E,MONTGOMERY,MONTGOMERY,AL,36109,32.41558,-86.22829,CHROMIUM
35125NRGYB25BAM,ENERGY ABSORPTION SYSTEMS INC PLT 1577,250 BAMBERG DR,PELL CITY,ST CLAIR,AL,35125,33.59535,-86.24302,DIISOCYANATES
35630MNRCH835RI,MONARCH CERAMIC TILE INC,834 RICKWOOD RD,FLORENCE,LAUDERDALE,AL,35630,34.826431,-87.670351,ZINC COMPOUNDS
36340RLBLNHWY27,RUSKIN CO,1300 ENTERPRISE RD,GENEVA,GENEVA,AL,363400580,31.0595,-85.8601,CERTAIN GLYCOL ETHERS
36340RLBLNHWY27,RUSKIN CO,1300 ENTERPRISE RD,GENEVA,GENEVA,AL,363400580,31.0595,-85.8601,XYLENE (MIXED ISOMERS)
36340RLBLNHWY27,RUSKIN CO,1300 ENTERPRISE RD,GENEVA,GENEVA,AL,363400580,31.0595,-85.8601,DIMETHYL PHTHALATE
36732LBMPWHWY43,GREENE COUNTY STEAM PLANT,HWY 43 & COUNTY RD 18,FORKLAND,GREENE,AL,36740,32.601662,-87.78212,DIOXIN AND DIOXIN-LIKE COMPOUNDS
36193THRML2758G,THERMALEX INC,2758 GUNTER PARK DR W,MONTGOMERY,MONTGOMERY,AL,36109,32.408367,-86.237673,ZINC (FUME OR DUST)
35215MDLND90CAR,ENGINEERED POLYMER SOLUTIONS I NC D/B/A VALSPAR COATINGS,90 CARSON RD,BIRMINGHAM,JEFFERSON,AL,35215,33.65856,-86.71538,ETHYLBENZENE
35215MDLND90CAR,ENGINEERED POLYMER SOLUTIONS I NC D/B/A VALSPAR COATINGS,90 CARSON RD,BIRMINGHAM,JEFFERSON,AL,35215,33.65856,-86.71538,METHYL METHACRYLATE
35476HNNST1701B,HANNA STEEL CORP,1701 BOONE BLVD,NORTHPORT,TUSCALOOSA,AL,35476,33.22813,-87.6342,CHROMIUM
35160TLLDG208NC,TALLADEGA CASTINGS & MACHINE CO INC,228 N CT ST,TALLADEGA,TALLADEGA,AL,35160,33.43928,-86.10436,DIISOCYANATES
36067NNCMP100JE,INTERNATIONAL PAPER,100 JENSEN RD,PRATTVILLE,AUTAUGA,AL,36067,32.418731,-86.471209,AMMONIA
36067NNCMP100JE,INTERNATIONAL PAPER,100 JENSEN RD,PRATTVILLE,AUTAUGA,AL,36067,32.418731,-86.471209,DIOXIN AND DIOXIN-LIKE COMPOUNDS
36067NNCMP100JE,INTERNATIONAL PAPER,100 JENSEN RD,PRATTVILLE,AUTAUGA,AL,36067,32.418731,-86.471209,BARIUM COMPOUNDS
36067NNCMP100JE,INTERNATIONAL PAPER,100 JENSEN RD,PRATTVILLE,AUTAUGA,AL,36067,32.418731,-86.471209,MERCURY COMPOUNDS
